Year,GDP_China,GDP_growth_China,Inflation_China,GDP_USA,GDP_growth_USA,Inflation_USA
2010,6192564874453.29,10.5962719761682,3.17532475269199,15048971000000.0,2.69519258234851,1.6400434423899
2011,7671757207851.29,9.4613358870736,5.55389892257491,15599732000000.0,1.56440685537306,3.156841568622
2012,8673664713189.24,7.85617427055587,2.61952432645539,16253970000000.0,2.289113386319,2.06933726526067
2013,9743124247267.24,7.77872409446717,2.62105001748119,16880683000000.0,2.11783009786468,1.46483265562717
2014,10674533168257.4,7.46190028229434,1.92164162788522,17608138000000.0,2.52381981372621,1.62222297740817
2015,11280814787468.9,6.97878002657477,1.43702380935656,18295019000000.0,2.94555045599772,0.118627135552451
2016,11456024084962.0,6.77555562837017,2.00000182191942,18804913000000.0,1.81945147620522,1.26158320570536
2017,12537559062282.9,6.8912663621211,1.59313600071433,19612102000000.0,2.45762230175086,2.13011000365961
2018,14147765772963.8,6.75671800166833,2.07479039965575,20656516000000.0,2.96650506916596,2.44258329692817
2019,14560167101283.4,6.06850235053705,2.89923416358229,21539982000000.0,2.58382533018889,1.81221007526021
2020,14996414166715.1,2.34018843078414,2.41942189457778,21354105000000.0,-2.16302913866512,1.23358439630629
2021,18201698719564.0,8.57008513166322,0.981015135544894,23681171000000.0,6.05505293304556,4.69785886363742
2022,18316765021690.2,3.1341888719577,1.97357555739052,26006893000000.0,2.5123753198332,8.00279982052121
2023,18270356654533.2,5.41484330099675,0.23483682889306,27720709000000.0,2.88755600905984,4.11633838374488
2024,18743803170827.2,4.9773565917572,0.218128938439166,29184890000000.0,2.79619035621393,2.94952520485207
