typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20100101,2010,52,2010,156,,,M,,842,,,0,,,H3,HS,True,8542,,,,C00,,0,0,,-1,,,False,-1,,,False,853234.0,False,,False,7903767147.0,,7903767147.0,0,True,False
C,A,20110101,2011,52,2011,156,,,M,,842,,,0,,,H3,HS,True,8542,,,,C00,,0,0,,-1,,,False,-1,,,False,756823.0,False,,False,6368050147.0,,6368050147.0,0,True,False
C,A,20120101,2012,52,2012,156,,,M,,842,,,0,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,,False,-1,,,False,704943.0,False,,False,7001486217.0,,7001486217.0,0,True,False
C,A,20130101,2013,52,2013,156,,,M,,842,,,0,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,,False,-1,,,False,903804.0,False,,False,14203311548.0,,14203311548.0,0,True,False
C,A,20140101,2014,52,2014,156,,,M,,842,,,0,,,H4,HS,True,8542,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,11113787226.0,,11113787226.0,0,True,False
C,A,20150101,2015,52,2015,156,,,M,,842,,,56,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,2512.0,False,,False,3992055.0,,3992055.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,100,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,1272.0,False,,False,1031775.0,,1031775.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,203,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,18.0,False,,False,60272.0,,60272.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,372,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,16.0,False,,False,40392.0,,40392.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,428,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,125.0,False,,False,35484.0,,35484.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,458,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,7690.0,False,,False,46310109.0,,46310109.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,699,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,125.0,False,,False,173112.0,,173112.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,442,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,5.0,False,,False,8371.0,,8371.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,792,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,5.0,False,,False,9496.0,,9496.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,4,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,4.0,False,,False,2360.0,,2360.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,50,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,2.0,False,,False,1000.0,,1000.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,144,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,2.0,False,,False,2448.0,,2448.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,705,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,2.0,False,,False,696.0,,696.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,842,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,226492.738,True,,False,4499808855.0,,4499808855.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,36,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,24.01,True,,False,58262.0,,58262.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,124,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,95.335,True,,False,497915.0,,497915.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,251,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,902.186,True,,False,977550.0,,977550.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,360,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,1.029,True,,False,1116.0,,1116.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,410,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,8770.973,True,,False,24661507.0,,24661507.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,440,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,7.733,True,,False,3094.0,,3094.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,446,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,298.204,True,,False,965137.0,,965137.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,608,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,20063.42,True,,False,168559558.0,,168559558.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,616,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,5.0,True,,False,79934.0,,79934.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,642,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,23.115,True,,False,37537.0,,37537.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,702,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,12492.396,True,,False,125428752.0,,125428752.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,703,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,1.216,True,,False,2010.0,,2010.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,764,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,2341.475,True,,False,12955013.0,,12955013.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,784,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,8.831,True,,False,26034.0,,26034.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,826,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,2189.502,True,,False,1881824.0,,1881824.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,276,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,6400.215,True,,False,35783709.0,,35783709.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,344,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,191136.452,True,,False,4173922690.0,,4173922690.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,842,,,554,,,H4,HS,True,8542,,,,C00,,0 ,0,,-1,,0.0,True,-1,,0.0,False,1.0,False,,False,812.0,,812.0,0,False,True
