country,indicator,year,value
China,GDP,2024,18743803170827.2
China,GDP,2023,18270356654533.2
China,GDP,2022,18316765021690.2
China,GDP,2021,18201698719564.0
China,GDP,2020,14996414166715.1
China,GDP,2019,14560167101283.4
China,GDP,2018,14147765772963.8
China,GDP,2017,12537559062282.9
China,GDP,2016,11456024084962.0
China,GDP,2015,11280814787468.9
China,GDP,2014,10674533168257.4
China,GDP,2013,9743124247267.24
China,GDP,2012,8673664713189.24
China,GDP,2011,7671757207851.29
China,GDP,2010,6192564874453.29
China,GDP_growth,2024,4.9773565917572
China,GDP_growth,2023,5.41484330099675
China,GDP_growth,2022,3.1341888719577
China,GDP_growth,2021,8.57008513166322
China,GDP_growth,2020,2.34018843078414
China,GDP_growth,2019,6.06850235053705
China,GDP_growth,2018,6.75671800166833
China,GDP_growth,2017,6.8912663621211
China,GDP_growth,2016,6.77555562837017
China,GDP_growth,2015,6.97878002657477
China,GDP_growth,2014,7.46190028229434
China,GDP_growth,2013,7.77872409446717
China,GDP_growth,2012,7.85617427055587
China,GDP_growth,2011,9.4613358870736
China,GDP_growth,2010,10.5962719761682
China,Inflation,2024,0.218128938439166
China,Inflation,2023,0.23483682889306
China,Inflation,2022,1.97357555739052
China,Inflation,2021,0.981015135544894
China,Inflation,2020,2.41942189457778
China,Inflation,2019,2.89923416358229
China,Inflation,2018,2.07479039965575
China,Inflation,2017,1.59313600071433
China,Inflation,2016,2.00000182191942
China,Inflation,2015,1.43702380935656
China,Inflation,2014,1.92164162788522
China,Inflation,2013,2.62105001748119
China,Inflation,2012,2.61952432645539
China,Inflation,2011,5.55389892257491
China,Inflation,2010,3.17532475269199
USA,GDP,2024,29184890000000.0
USA,GDP,2023,27720709000000.0
USA,GDP,2022,26006893000000.0
USA,GDP,2021,23681171000000.0
USA,GDP,2020,21354105000000.0
USA,GDP,2019,21539982000000.0
USA,GDP,2018,20656516000000.0
USA,GDP,2017,19612102000000.0
USA,GDP,2016,18804913000000.0
USA,GDP,2015,18295019000000.0
USA,GDP,2014,17608138000000.0
USA,GDP,2013,16880683000000.0
USA,GDP,2012,16253970000000.0
USA,GDP,2011,15599732000000.0
USA,GDP,2010,15048971000000.0
USA,GDP_growth,2024,2.79619035621393
USA,GDP_growth,2023,2.88755600905984
USA,GDP_growth,2022,2.5123753198332
USA,GDP_growth,2021,6.05505293304556
USA,GDP_growth,2020,-2.16302913866512
USA,GDP_growth,2019,2.58382533018889
USA,GDP_growth,2018,2.96650506916596
USA,GDP_growth,2017,2.45762230175086
USA,GDP_growth,2016,1.81945147620522
USA,GDP_growth,2015,2.94555045599772
USA,GDP_growth,2014,2.52381981372621
USA,GDP_growth,2013,2.11783009786468
USA,GDP_growth,2012,2.289113386319
USA,GDP_growth,2011,1.56440685537306
USA,GDP_growth,2010,2.69519258234851
USA,Inflation,2024,2.94952520485207
USA,Inflation,2023,4.11633838374488
USA,Inflation,2022,8.00279982052121
USA,Inflation,2021,4.69785886363742
USA,Inflation,2020,1.23358439630629
USA,Inflation,2019,1.81221007526021
USA,Inflation,2018,2.44258329692817
USA,Inflation,2017,2.13011000365961
USA,Inflation,2016,1.26158320570536
USA,Inflation,2015,0.118627135552451
USA,Inflation,2014,1.62222297740817
USA,Inflation,2013,1.46483265562717
USA,Inflation,2012,2.06933726526067
USA,Inflation,2011,3.156841568622
USA,Inflation,2010,1.6400434423899
